locus_tag	gene	product
boryong_00360	NA	hypothetical protein
boryong_00365	NA	Conjugal transfer protein
boryong_00370	NA	conjugal transfer protein
boryong_00375	NA	Conjugal transfer protein
boryong_00380	trbC	type-F conjugative transfer system pilin assembly protein TrbC
boryong_00385	NA	Conjugal transfer protein TraN
boryong_00390	NA	Conjugal transfer protein TraN
boryong_00395	NA	Conjugative transfer protein
boryong_00400	NA	Ankyrin repeat protein with 6 ankyrin repeats
boryong_00405	NA	Conjugal transfer protein
boryong_00410	NA	Conjugal transfer protein
boryong_00415	NA	Conjugal transfer protein TraH
boryong_00420	NA	Conjugal transfer protein TraH
boryong_00425	NA	hypothetical protein
boryong_00430	NA	DDE superendonuclease family protein
boryong_00435	NA	DDE superendonuclease family protein
boryong_00440	NA	hypothetical protein
boryong_00445	NA	Conjugal transfer protein
boryong_00450	NA	transposase
boryong_00455	tnp-IS110	IS110 family transposase
boryong_00460	NA	reverse transcriptase/maturase family protein
boryong_00465	NA	Group II intron, maturase-specific domain-containing protein
boryong_00470	NA	Ankyrin repeat protein with 14 ankyrin repeats
boryong_00475	NA	hypothetical protein
boryong_00480	NA	toprim domain-containing protein
boryong_00485	traA	conjugal transfer protein TraA
boryong_00490	traA	conjugal transfer protein TraA
boryong_00495	NA	hypothetical protein
boryong_00500	traD	conjugative transfer protein
boryong_00505	NA	hypothetical protein
boryong_00510	spoT	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
boryong_00515	NA	Putative signal transduction histidine kinase
boryong_00520	NA	hypothetical protein
boryong_00525	NA	Site-specific DNA-methyltransferase (adenine-specific)
boryong_00530	NA	Site-specific DNA-methyltransferase (adenine-specific)
boryong_00535	NA	Putative ompA-like autotransporter
boryong_00540	NA	HD domain protein
boryong_00545	NA	Replicative DNA helicase
boryong_00550	dnaB	Replicative DNA helicase
boryong_00555	NA	DnaA-N domain-containing protein
boryong_00560	NA	DnaA N-terminal domain protein
boryong_00565	NA	ankyrin repeat domain-containing protein
boryong_00570	NA	hypothetical protein
boryong_00575	NA	reverse transcriptase domain-containing protein
boryong_00580	NA	Transposase
boryong_00585	NA	DDE superendonuclease family protein
boryong_00590	NA	Transposase
boryong_00595	NA	autotransporter domain-containing protein
boryong_00600	NA	DDE superendonuclease family protein
boryong_00605	tnp-IS5	IS5 family transposase
boryong_00610	NA	Tetratricopeptide repeat protein with 2 trp repeats
boryong_00615	NA	Conjugative transfer protein
boryong_00620	NA	hypothetical protein
boryong_00625	NA	Conjugal transfer protein
boryong_00630	NA	Conjugal transfer protein TraH
boryong_00635	NA	Conjugal transfer protein TraH
boryong_00640	traG	conjugal transfer protein TraG
boryong_00645	NA	Tetratricopeptide repeat protein with 5 trp repeats
boryong_00650	traD	conjugal transfer protein
boryong_00655	NA	transposase
boryong_00660	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
boryong_00665	NA	Znf/thioredoxin-put domain-containing protein
boryong_00670	NA	hypothetical protein
boryong_00680	NA	hypothetical protein
boryong_00685	NA	IS110 family transposase
boryong_00690	NA	hypothetical protein
boryong_00695	NA	Transposase
boryong_00700	NA	DDE superendonuclease family protein
boryong_00705	NA	DDE superendonuclease family protein
boryong_00710	NA	hypothetical protein
boryong_00715	NA	Transposase
boryong_00720	NA	hypothetical protein
boryong_00725	NA	ATP-binding protein
boryong_00730	NA	Putative signal transduction histidine kinase
boryong_00735	NA	DDE superendonuclease family protein
boryong_00740	NA	Transposase
boryong_00745	NA	TPR repeat-containing protein 08
boryong_00750	NA	tetratricopeptide repeat protein
boryong_00755	NA	Conjugal transfer TraD family protein
boryong_00760	NA	hypothetical protein
boryong_00765	traA	conjugal transfer protein TraA
boryong_00770	traA	conjugal transfer protein TraA
boryong_00775	traA	conjugal transfer protein TraA
boryong_00780	NA	transposase
boryong_00785	NA	hypothetical protein
boryong_00790	NA	hypothetical protein
boryong_00795	NA	peptidylprolyl isomerase
boryong_00800	NA	hypothetical protein
boryong_00805	tpiA	triose-phosphate isomerase
boryong_00810	secG	preprotein translocase subunit SecG
boryong_00820	lysS	lysine--tRNA ligase
boryong_00825	dsbB	disulfide bond formation protein B
boryong_00830	ubiB	ubiquinone biosynthesis protein UbiB
boryong_00835	psd	phosphatidylserine decarboxylase
boryong_00840	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase
boryong_00845	mnhE	sodium:proton antiporter
boryong_00850	NA	Multiple resistance and pH regulation F family protein
boryong_00855	NA	PDDEXK-1 domain-containing protein
boryong_00860	ndh	NADH dehydrogenase
boryong_00865	sucD	succinyl-CoA synthetase subunit alpha
boryong_00870	sucC	succinyl-CoA ligase subunit beta
boryong_00875	ubiH	2-polyprenyl-6-methoxyphenol 4-hydroxylase
boryong_00885	trcR	Uncharacterised protein
boryong_00890	ileS	isoleucine--tRNA ligase
boryong_00895	NA	Ubiquinone biosynthesis protein COQ9
boryong_00900	rpsU	30S ribosomal protein S21
boryong_00905	holC	DNA polymerase III subunit chi
boryong_00910	NA	Proline/betaine transporter
boryong_00915	NA	DUF5394 domain-containing protein
boryong_00920	NA	DUF5394 domain-containing protein
boryong_00925	NA	Ankyrin repeat protein with 1d ankyrin repeats
boryong_00930	pnp	polyribonucleotide nucleotidyltransferase
boryong_00935	rpsO	30S ribosomal protein S15
boryong_00940	tru	tRNA pseudouridine(55) synthase
boryong_00945	NA	DDE-3 domain-containing protein
boryong_00950	hipB	XRE family transcriptional regulator
boryong_00955	NA	hypothetical protein
boryong_00960	NA	hypothetical protein
boryong_00965	NA	ankyrin repeat domain-containing protein
boryong_00970	NA	hypothetical protein
boryong_00975	NA	Conjugative transfer protein
boryong_00980	NA	Replicative DNA helicase
boryong_00985	NA	DnaB-like helicase N terminal domain protein
boryong_00990	NA	hypothetical protein
boryong_00995	NA	Transposase
boryong_01000	tyrS	tyrosine--tRNA ligase
boryong_01005	NA	Replicative DNA helicase
boryong_01010	NA	hypothetical protein
boryong_01015	NA	Conjugative transfer protein
boryong_01020	NA	Putative conjugative transfer protein TraC
boryong_01025	NA	IS5 family transposase ISOt6
boryong_01030	NA	hypothetical protein
boryong_01035	sppA	S49 family peptidase
boryong_01040	miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
boryong_01045	hemF	oxygen-dependent coproporphyrinogen oxidase
boryong_01050	NA	DUF2610 domain-containing protein
boryong_01055	NA	hypothetical protein
boryong_01060	NA	Conjugal transfer protein
boryong_01065	NA	SpoT ppGpp hydrolase
boryong_01070	NA	hypothetical protein
boryong_01075	NA	Conjugal transfer protein TraE
boryong_01080	NA	hypothetical protein
boryong_01085	NA	Putative integrase
boryong_01090	trm112	tetraacyldisaccharide 4'-kinase
boryong_01095	NA	hypothetical protein
boryong_01105	rpmE	50S ribosomal protein L31
boryong_01110	rpmB	50S ribosomal protein L28
boryong_01115	eamA	EamA family transporter
boryong_01120	NA	MFS transporter
boryong_01125	NA	hypothetical protein
boryong_01130	pBP4	penicillin-binding protein 4
boryong_01135	aspS	aspartate--tRNA(Asp/Asn) ligase
boryong_01140	rpoB	DNA-directed RNA polymerase subunit beta'
boryong_01145	rpoB	DNA-directed RNA polymerase subunit beta
boryong_01150	rplL	50S ribosomal protein L7/L12
boryong_01155	rplJ	50S ribosomal protein L10
boryong_01160	rplA	50S ribosomal protein L1
boryong_01165	rplK	50S ribosomal protein L11
boryong_01170	nusG	transcription termination/antitermination factorNusG
boryong_01175	secE	preprotein translocase subunit SecE
boryong_01185	tuf	elongation factor Tu
boryong_01190	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase
boryong_01195	NA	hypothetical protein
boryong_01200	recR	recombination protein RecR
boryong_01205	yciB	septation protein A
boryong_01210	fTR1	iron permease
boryong_01215	NA	cupredoxin domain-containing protein
boryong_01225	eAL	EAL domain-containing protein
boryong_01230	abcT	ABC transporter ATP-binding protein
boryong_01235	art	arginine ABC transporter permease
boryong_01240	NA	DDE superendonuclease family protein
boryong_01245	NA	Putative transposase
boryong_01250	NA	IS982 family transposase
boryong_01255	NA	hypothetical protein
boryong_01260	NA	hypothetical protein
boryong_01265	traG	conjugal transfer protein TraG
boryong_01270	NA	Conjugal transfer protein TraH
boryong_01275	NA	Conjugal transfer protein TraH
boryong_01280	NA	Conjugal transfer protein
boryong_01285	NA	hypothetical protein
boryong_01290	traN	conjugal transfer protein TraN
boryong_01295	NA	Type-F conjugative transfer system pilin assembly family protein
boryong_01300	NA	Conjugal transfer protein
boryong_01305	NA	ankyrin repeat domain-containing protein
boryong_01310	NA	Conjugative transfer protein
boryong_01315	traA	conjugal transfer protein TraA
boryong_01320	traA	conjugal transfer protein TraA
boryong_01325	NA	hypothetical protein
boryong_01330	NA	Conjugative transfer protein
boryong_01335	NA	hypothetical protein
boryong_01340	NA	DDE Tnp4 domain-containing protein
boryong_01345	NA	(P)ppGpp synthetase
boryong_01350	NA	Putative signal transduction histidine kinase
boryong_01355	NA	hypothetical protein
boryong_01360	dam	DNA methyltransferase
boryong_01365	NA	Ankyrin repeat protein with 4 ankyrin repeats
boryong_01370	NA	hypothetical protein
boryong_01375	NA	DnaA N-terminal domain protein
boryong_01380	NA	hypothetical protein
boryong_01385	NA	Conjugal transfer protein TraH
boryong_01395	infA	translation initiation factor IF-1
boryong_01400	maf	septum formation inhibitor Maf
boryong_01405	tACO1	YebC/PmpR family DNA-binding transcriptional regulator
boryong_01410	gyrA	DNA gyrase subunit A
boryong_01415	glyA	serine hydroxymethyltransferase
boryong_01420	NA	hypothetical protein
boryong_01425	NA	DUF3971 domain-containing protein
boryong_01430	rnpA	ribonuclease P
boryong_01435	rpmH	50S ribosomal protein L34
boryong_01440	cYT1	Cytochrome c1
boryong_01445	rph	ribonuclease PH
boryong_01450	grpE	nucleotide exchange factor GrpE
boryong_01455	NA	Transposase
boryong_01460	NA	IS5 family transposase ISOt6
boryong_01465	NA	hypothetical protein
boryong_01470	rnd	ribonuclease D
boryong_01475	ftsB	Cell division protein FtsB
boryong_01480	cdsA	phosphatidate cytidylyltransferase
boryong_01485	uppS	polyprenyl diphosphate synthase
boryong_01490	abcT	ABC transporter ATP-binding protein
boryong_01495	NA	Transposase
boryong_01500	dnaE	DNA polymerase III subunit alpha
boryong_01505	valS	valine--tRNA ligase
boryong_01510	ubiA	4-hydroxybenzoate octaprenyltransferase
boryong_01515	NA	hypothetical protein
boryong_01520	ldcA	LD-carboxypeptidase
boryong_01525	NA	hypothetical protein
boryong_01530	NA	Reverse transcriptase
boryong_01535	NA	AhpC/TSA family protein
boryong_01540	NA	hypothetical protein
boryong_01545	NA	IS5 family transposase ISOt6
boryong_01550	NA	Putative transposase
boryong_01555	NA	hypothetical protein
boryong_01560	NA	hypothetical protein
boryong_01565	NA	Lipase-3 domain-containing protein
boryong_01570	coxB	cytochrome c oxidase subunit II
boryong_01575	NA	RDD family protein
boryong_01580	virB6-5	conjugal transfer protein
boryong_01585	NA	DDE superendonuclease family protein
boryong_01590	NA	IS5 family transposase ISOt6
boryong_01595	NA	Transposase
boryong_01600	gepA	DUF4065 domain-containing protein
boryong_01605	NA	Tetratricopeptide repeat protein with 2 trp repeats
boryong_01610	NA	IS630 family transposase
boryong_01615	uvrA	excinuclease ABC subunit A
boryong_01620	NA	Putative transposase
boryong_01625	NA	Transposase DDE domain protein
boryong_01630	NA	(P)ppGpp synthetase
boryong_01635	NA	transposase
boryong_01640	NA	Conjugal transfer protein TraD
boryong_01645	NA	hypothetical protein
boryong_01650	ykfC	Retron-type reverse transcriptase
boryong_01655	NA	Putative reverse transcriptase
boryong_01660	NA	hypothetical protein
boryong_01665	NA	Ankyrin repeat protein with 2 ankyrin repeats
boryong_01670	NA	Lipase (class 3)
boryong_01675	NA	hypothetical protein
boryong_01680	NA	hypothetical protein
boryong_01685	murJ	lipid II flippase MurJ
boryong_01690	NA	DDE-3 domain-containing protein
boryong_01695	arpD	type I secretion system permease/ATPase
boryong_01700	hlyD	HlyD family type I secretion periplasmic adaptorsubunit
boryong_01705	NA	DDE superendonuclease family protein
boryong_01710	NA	DDE superendonuclease family protein
boryong_01715	NA	DDE superendonuclease family protein
boryong_01720	NA	Transposase
boryong_01725	NA	IS630 family transposase
boryong_01730	NA	Conjugative transfer protein
boryong_01735	NA	IS982 family transposase
boryong_01740	NA	Transposase
boryong_01745	tlc	ATP/ADP translocase
boryong_01750	tlcC	AAA family ATPase
boryong_01755	NA	hypothetical protein
boryong_01760	ispB	octaprenyl-diphosphate synthase
boryong_01765	NA	Conjugative transfer protein
boryong_01770	NA	Type-F conjugative transfer system protein TraW
boryong_01775	NA	hypothetical protein
boryong_01780	traG	conjugal transfer protein TraG
boryong_01785	NA	hypothetical protein
boryong_01790	NA	hypothetical protein
boryong_01795	NA	Tetratricopeptide repeat family protein
boryong_01800	NA	Conjugal transfer protein
boryong_01805	tnp-IS110	IS110 family transposase
boryong_01810	NA	DDE superendonuclease family protein
boryong_01815	NA	DDE superendonuclease family protein
boryong_01820	NA	IS5 family transposase ISOt6
boryong_01825	NA	Putative transposase
boryong_01830	NA	Conjugal transfer protein
boryong_01835	NA	ankyrin repeat domain-containing protein
boryong_01840	NA	hypothetical protein
boryong_01845	NA	Putative conjugative transfer protein TraA
boryong_01850	traA	conjugal transfer protein TraA
boryong_01855	NA	Conjugal transfer protein TraA
boryong_01860	traA	conjugal transfer protein TraA
boryong_01865	NA	hypothetical protein
boryong_01870	NA	hypothetical protein
boryong_01875	apaG	Co2 /Mg2 efflux protein ApaG
boryong_01880	pleD	PleD family two-component system response regulator
boryong_01890	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
boryong_01895	mgtE	magnesium transporter
boryong_01900	ybeY	rRNA maturation RNase YbeY
boryong_01905	ftsY	signal recognition particle-docking protein FtsY
boryong_01910	NA	DUF2660 domain-containing protein
boryong_01915	virB9-1	P-type conjugative transfer protein VirB9
boryong_01920	virB8-1	type VI secretion protein
boryong_01935	thyA	thymidylate synthase (FAD)
boryong_01940	cinA	Competence-damaged protein cinA
boryong_01945	pgpA	phosphatidylglycerophosphatase A
boryong_01950	NA	Conjugal transfer TraD family protein
boryong_01955	NA	hypothetical protein
boryong_01960	NA	hypothetical protein
boryong_01965	perM	AI-2E family transporter
boryong_01970	hemA	5-aminolevulinate synthase
boryong_01975	ptrB	S9 family peptidase
boryong_01980	rpsT	30S ribosomal protein S20
boryong_01985	rplQ	50S ribosomal protein L17
boryong_01990	rpoA	DNA-directed RNA polymerase subunit alpha
boryong_01995	rpsK	30S ribosomal protein S11
boryong_02000	rpsM	30S ribosomal protein S13
boryong_02005	adk	adenylate kinase
boryong_02010	secY	preprotein translocase subunit SecY
boryong_02015	rplO	50S ribosomal protein L15
boryong_02020	rpsE	30S ribosomal protein S5
boryong_02025	rplR	50S ribosomal protein L18
boryong_02030	rplF	50S ribosomal protein L6
boryong_02035	rpsH	30S ribosomal protein S8
boryong_02040	rpsN	30S ribosomal protein S14
boryong_02045	rplE	50S ribosomal protein L5
boryong_02050	rplX	50S ribosomal protein L24
boryong_02055	rplN	50S ribosomal protein L14
boryong_02060	rpsQ	30S ribosomal protein S17
boryong_02065	rpmC	50S ribosomal protein L29
boryong_02070	rplP	50S ribosomal protein L16
boryong_02075	rpsC	30S ribosomal protein S3
boryong_02080	rplV	50S ribosomal protein L22
boryong_02085	rpsS	30S ribosomal protein S19
boryong_02090	rplB	50S ribosomal protein L2
boryong_02095	rplW	50S ribosomal protein L23
boryong_02100	rplD	50S ribosomal protein L4
boryong_02105	rplC	50S ribosomal protein L3
boryong_02110	rpsJ	30S ribosomal protein S10
boryong_02115	tuf	elongation factor Tu
boryong_02130	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
boryong_02135	recA	DNA recombination/repair protein RecA
boryong_02140	fabG	3-oxoacyl-ACP reductase
boryong_02145	acpP	acyl carrier protein
boryong_02150	fabF	beta-ketoacyl-[acyl-carrier-protein] synthase II
boryong_02155	NA	Transposase
boryong_02160	NA	Tnp-DDE-dom domain-containing protein
boryong_02165	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase
boryong_02170	yfjG	ubiquinone-binding protein
boryong_02175	lipA	lipoyl synthase
boryong_02180	sppA	signal peptide peptidase SppA
boryong_02185	smpB	SsrA-binding protein SmpB
boryong_02190	dapA	4-hydroxy-tetrahydrodipicolinate synthase
boryong_02195	ilvE	branched chain amino acid aminotransferase
boryong_02200	recD	ATP-dependent RecD-like DNA helicase
boryong_02205	rplS	50S ribosomal protein L19
boryong_02210	trmD	tRNA (guanine(37)-N(1))-methyltransferase
boryong_02215	NA	hypothetical protein
boryong_02220	popZ	Cell pole-organizing protein PopZ
boryong_02225	tolC	TolC family protein
boryong_02235	xerD	site-specific tyrosine recombinase XerD
boryong_02240	NA	conjugal transfer protein
boryong_02245	surf1	surfeit locus protein 1
boryong_02250	fabZ	beta-hydroxyacyl-ACP dehydratase
boryong_02255	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
boryong_02260	radA	DNA repair protein RadA
boryong_02265	rhaT	membrane protein
boryong_02270	NA	DUF3857 domain-containing protein
boryong_02275	NA	DUF3857 domain-containing protein
boryong_02280	NA	hypothetical protein
boryong_02285	NA	hypothetical protein
boryong_02290	NA	hypothetical protein
boryong_02295	NA	hypothetical protein
boryong_02300	NA	Phage-related integrase
boryong_02305	traL	Uncharacterised protein
boryong_02310	NA	Conjugative transfer protein
boryong_02315	NA	Putative membrane protein
boryong_02320	NA	Conjugal transfer protein TraC
boryong_02325	NA	Conjugal transfer protein TraC
boryong_02330	NA	PRANC domain-containing protein
boryong_02335	NA	Ankyrin repeat family protein
boryong_02340	NA	ankyrin repeat domain-containing protein
boryong_02345	NA	Conjugal transfer protein TraD
boryong_02350	NA	hypothetical protein
boryong_02355	NA	DDE superendonuclease family protein
boryong_02360	NA	DDE superendonuclease family protein
boryong_02365	NA	Transposase
boryong_02370	NA	hypothetical protein
boryong_02375	rpmJ	50S ribosomal protein L36
boryong_02380	NA	helix-turn-helix domain containing protein
boryong_02385	NA	IS630 family transposase
boryong_02390	NA	Putative transposase
boryong_02395	NA	transposase
boryong_02400	NA	hypothetical protein
boryong_02405	NA	DDE superendonuclease family protein
boryong_02410	NA	hypothetical protein
boryong_02415	ykfC	Retron-type reverse transcriptase
boryong_02420	NA	hypothetical protein
boryong_02425	NA	Thioredoxin
boryong_02430	bamA	outer membrane protein assembly factor BamA
boryong_02435	rseP	RIP metalloprotease RseP
boryong_02440	rmuC	DNA recombination protein RmuC
boryong_02445	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase
boryong_02450	surA	Chaperone SurA
boryong_02455	himA	Bacterial nucleoid DNA-binding protein IHF-alpha
boryong_02465	NA	zinc ABC transporter substrate-binding protein
boryong_02470	pcnB	poly(A) polymerase
boryong_02475	gltP	dicarboxylate/amino acid:cation symporter
boryong_02480	uvrD	ATP-dependent DNA helicase UvrD
boryong_02485	sixA	phosphohistidine phosphatase
boryong_02490	dapB	dihydrodipicolinate reductase
boryong_02495	hisJ	amino acid ABC transporter substrate-binding protein
boryong_02500	coxW	cytochrome c oxidase assembly protein
boryong_02505	rpmF	50S ribosomal protein L32
boryong_02510	bamE	SmpA / OmlA family
boryong_02515	era	GTPase Era
boryong_02520	NA	Peptidylprolyl isomerase
boryong_02525	prfA	peptide chain release factor 1
boryong_02530	NA	Transposase
boryong_02535	NA	hypothetical protein
boryong_02540	NA	hypothetical protein
boryong_02545	NA	hypothetical protein
boryong_02550	NA	DnaA-N domain-containing protein
boryong_02555	dnaB	Replicative DNA helicase
boryong_02560	NA	DNA helicase
boryong_02565	NA	hypothetical protein
boryong_02570	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_02575	NA	DDE superendonuclease family protein
boryong_02580	NA	DDE superendonuclease family protein
boryong_02585	ppx	exopolyphosphatase
boryong_02590	NA	hypothetical protein
boryong_02595	pcaH	intradiol ring-cleavage dioxygenase
boryong_02600	leuS	leucine--tRNA ligase
boryong_02605	holB2	DNA polymerase III subunit delta
boryong_02615	mgtE	magnesium transporter
boryong_02620	ypwA	carboxypeptidase M32
boryong_02625	NA	Reverse transcriptase
boryong_02630	NA	hypothetical protein
boryong_02635	NA	DnaA-N domain-containing protein
boryong_02640	dnaB	Replicative DNA helicase
boryong_02645	NA	DNA helicase
boryong_02650	spoT	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
boryong_02655	aNKYR	Ankyrin repeat protein with 5 ankyrin repeats
boryong_02660	NA	hypothetical protein
boryong_02665	NA	hypothetical protein
boryong_02670	NA	hypothetical protein
boryong_02675	NA	ATP-binding protein
boryong_02680	NA	ATP-binding protein
boryong_02685	NA	hypothetical protein
boryong_02690	spoT	(p)ppGpp synthase/hydrolase, HD superfamily
boryong_02695	NA	transposase
boryong_02700	NA	Conjugal transfer protein TraD
boryong_02705	NA	hypothetical protein
boryong_02710	ykfC	Retron-type reverse transcriptase
boryong_02715	NA	hypothetical protein
boryong_02720	NA	Ankyrin repeat protein with 3 ankyrin repeats
boryong_02725	NA	Conjugal transfer protein TraC
boryong_02730	NA	Conjugative transfer protein TraC
boryong_02735	NA	conjugal transfer protein
boryong_02740	NA	Conjugative pilus assembly protein
boryong_02745	NA	hypothetical protein
boryong_02750	NA	site-specific integrase
boryong_02755	rpsD	30S ribosomal protein S4
boryong_02760	rsmE	Ribosomal RNA small subunit methyltransferase E
boryong_02765	mlaE	Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla
boryong_02770	mlaF	ABC transporter ATP-binding protein
boryong_02775	recJ	single-stranded-DNA-specific exonuclease RecJ
boryong_02780	ruvX	Holliday junction resolvase RuvX
boryong_02785	NA	DUF1189 domain-containing protein
boryong_02790	ccmE	cytochrome c biogenesis protein CcmE
boryong_02795	curA	NADP-dependent oxidoreductase
boryong_02800	traL	Uncharacterised protein
boryong_02805	NA	site-specific integrase
boryong_02810	NA	Putative integrase
boryong_02815	NA	Putative integrase
boryong_02820	NA	hypothetical protein
boryong_02825	NA	hypothetical protein
boryong_02830	NA	hypothetical protein
boryong_02835	NA	DDE superendonuclease family protein
boryong_02840	NA	IS5 family transposase ISOt6
boryong_02845	NA	Putative transposase
boryong_02850	traE	conjugative transfer protein
boryong_02855	traK2	Uncharacterised protein
boryong_02860	NA	hypothetical protein
boryong_02865	NA	hypothetical protein
boryong_02870	panF	sodium:pantothenate symporter panF
boryong_02875	NA	MFS transporter
boryong_02880	NA	Putative integrase
boryong_02885	NA	Integrase
boryong_02890	traA	conjugal transfer protein TraA
boryong_02895	traA	conjugal transfer protein TraA
boryong_02900	NA	hypothetical protein
boryong_02905	traD	conjugative transfer protein
boryong_02910	NA	hypothetical protein
boryong_02915	NA	(P)ppGpp synthetase
boryong_02920	NA	DDE superendonuclease family protein
boryong_02925	tnp-IS5	IS5 family transposase
boryong_02930	NA	DUF4065 domain-containing protein
boryong_02935	NA	hypothetical protein
boryong_02940	NA	Glycosyl transferase family 8
boryong_02945	NA	conjugal transfer protein TraN
boryong_02950	NA	Conjugal transfer protein TraN
boryong_02955	NA	Type-F conjugative transfer system pilin assembly family protein
boryong_02960	NA	Conjugal transfer protein
boryong_02965	NA	conjugal transfer protein
boryong_02970	NA	Conjugal transfer protein
boryong_02975	NA	hypothetical protein
boryong_02980	traE	conjugative transfer protein
boryong_02985	traL	Uncharacterised protein
boryong_02990	NA	site-specific integrase
boryong_02995	NA	Putative integrase
boryong_03000	NA	Putative integrase
boryong_03015	NA	hypothetical protein
boryong_03020	NA	hypothetical protein
boryong_03025	NA	reverse transcriptase domain-containing protein
boryong_03030	NA	DDE superendonuclease family protein
boryong_03035	tnp-IS5	IS5 family transposase
boryong_03040	NA	DDE superendonuclease family protein
boryong_03045	NA	Transposase IS116/IS110/IS902 family protein
boryong_03050	NA	DDE superendonuclease family protein
boryong_03055	NA	DDE superendonuclease family protein
boryong_03060	NA	IS110 family transposase
boryong_03065	NA	site-specific integrase
boryong_03070	bcp	peroxiredoxin
boryong_03075	NA	hypothetical protein
boryong_03080	NA	hypothetical protein
boryong_03085	tlcC	AAA family ATPase
boryong_03090	rplI	50S ribosomal protein L9
boryong_03095	rpsR	30S ribosomal protein S18
boryong_03100	rpsF	30S ribosomal protein S6
boryong_03105	ompR	two-component system response regulator
boryong_03110	mdlB	multidrug resistance protein
boryong_03115	NA	IS110 family transposase
boryong_03120	tig	trigger factor
boryong_03130	dapE	succinyl-diaminopimelate desuccinylase
